,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,Lat,Long
604,1182737,NEW YORK,RW,341,839518,ETHIOPIAN MESKEL INC,,199 E 3RD ST,,NEW YORK,NY,10009,04/12/2019,02/28/2021,RESTAURANT SERVING WINE CIDER AND BEER ,,,,40.7228343,-73.9831068
609,1027211,NEW YORK,OP,252,905106,OLD JOHN INC,,148 W 67TH STREET,,NEW YORK,NY,10023,04/17/2019,04/30/2021,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,,40.639131,-74.0289586
613,1299007,NEW YORK,OP,252,904546,SUPER NORIEGA LLC,BABY BRASA,173 7TH AVENUE SOUTH,,NEW YORK,NY,10014,03/29/2019,03/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER","CB2 Stips: Su-Wed 12pm-12am, Th-S 12pm-1am",Recorded Music No Enclosed Sidewalk Cafe W/O Permit,,40.735875,-74.001387
620,1313745,NEW YORK,RW,341,830681,TAC N ROLL LLC,,124 E 4TH ST,EAST STORE FRONT,NEW YORK,NY,10003,01/18/2019,12/31/2020,"RESTAURANT WINE SERVING WINE, BEER AND CIDER",CB3 Stips:11AM-12AM All Days. Ambient recorded background music; No DJs; No Live Music,CB3 Stips:No Promoter Events; No Dancing; No pub crawls or party buses; No Sidewalk Cafe,,40.6495339,-73.97784278659091
625,1028042,NEW YORK,OP,252,899395,732 EIGHTH AVENUE CORP,PLAYWRIGHT TAVERN ACT II,732 8TH AVENUE,,NEW YORK,NY,10036,11/13/2018,12/31/2020,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,,40.759327150000004,-73.98793014250461
638,1180396,NEW YORK,OP,252,893319,TMG OF NEW ENGLAND LLC,TED'S MONTANA GRILL,110 W 51ST STREET,5TH AVE & 6TH AVE,NEW YORK,NY,10020,07/11/2018,08/31/2020,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,,40.64960010204082,-74.01945581632653
643,1022436,NEW YORK,CL,243,901569,DOWN TOWN ASSOCIATION,,60 62 64 PINE STREET,AKA 20 22 24 CEDAR STREET,NEW YORK,NY,10005,02/06/2019,02/28/2021,"CLUB - TAVERN SERVING LIQUOR, WINE, AND BEER CIDER",,Members only - not open to the public,,41.091943620689655,-73.93613272413792
647,1162928,NEW YORK,OP,252,905934,114 KENMARE ASSOCIATES LLC,CORNER DELI AKA LA ESQUINA,106 KENMARE AKA 199 LAFAYETTE,114 KENMARE STREET,NEW YORK,NY,10012,05/13/2019,05/31/2021,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,,,,0.0,0.0
648,1262085,NEW YORK,AX,122,900991,J & F MEAT MARKET CORP,,1975 AMSTERDAM AVE,,NEW YORK,NY,10032,05/31/2018,06/30/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,42.77741979591836,-73.9484851632653
656,1025818,NEW YORK,OP,252,900194,JACKSON HOLE BURGER INC,JACKSON HOLE,521 3RD AVENUE,,NEW YORK,NY,10016,12/13/2018,12/31/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,Restaurant/ Juke Box/,,40.7461718,-73.9775484
659,1261580,NEW YORK,AX,122,898780,5TH AVENUE WALI INC ,7 ELEVEN STORE 35300,224 5TH AVE,,NEW YORK,NY,10001,03/28/2018,05/31/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCT,,,,40.7438906,-73.98830419924911
667,1293517,NEW YORK,OP,252,894399,WINNIES NYC LLC,LALITO,104 BAYARD ST,,NEW YORK,NY,10013,08/23/2018,09/30/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER.",FB Stip: Close@2amSun-Wed; Close@4am Thur-Sat  ,FB Stip: All other CB Stips incorporated allowing Karaoke,,40.7161851,-73.9998239
671,1308908,NEW YORK,AX,122,882790,HELLS KITCHEN DELI FOOD CORP,HELL'S KITCHEN DELI,535 9TH AVE,,NEW YORK,NY,10018,04/26/2018,03/31/2021,GROCERY STORE SELLING BEER AND WINE PRODUCTS,,,,40.75707345,-73.99398278696682
672,1025297,NEW YORK,OP,252,903632,HOME BOY RESTAURANT INC,TRIBECA GRILL,375 GREENWICH STREET,,NEW YORK,NY,10013,03/19/2019,03/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7196109,-74.0100722
692,1298165,NEW YORK,OP,252,899736,79 CLINTON RESTAURANT GROUP LLC,CLANCEY,79 CLINTON ST,,NEW YORK,NY,10002,11/28/2018,11/30/2020,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,"CB# Stips: 11:00am-12:00am Su-Th, 11:00am-2:00am Fr-Sa",Recorded Music,,40.7190348,-73.9852061
697,1213586,NEW YORK,OP,252,906450,MINETTA LANE L.P.,MINETTA TAVERN,111 113 MAC DOUGAL STREET,,NEW YORK,NY,10012,05/28/2019,05/31/2021,RESTAURANT SERVING LIQUOR CIDER WINE BEER,,"Recorded Music, No Dancing, Food Served",,0.0,0.0
700,1027037,NEW YORK,OP,252,902419,STARJEM LLC,FRESCO ON THE GO,40 E 52ND STREET,,NEW YORK,NY,10022,02/25/2019,02/28/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.65033863265306,-74.02179448979592
701,1022471,NEW YORK,CL,243,902356,REGENCY WHIST CLUB INC,,15 E 67TH STREET,ATTN MARGIE GEWIRTZ,NEW YORK,NY,10065,02/22/2019,02/28/2021,CLUB RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,,Members only - not open to the public  ,,40.768979349999995,-73.96819768513761
706,1301358,NEW YORK,RW,341,840044,PANATHA CHICKEN LLC,CHIRPING CHICKEN,587 9TH AVE,,NEW YORK,NY,10036,05/30/2019,04/30/2021,"RESTAURANT SERVING WINE, BEER AND CIDER     ",M-Su 11am-12am,Recorded Music,,40.7588675,-73.9925294
714,1306311,NEW YORK,RW,341,824480,STINGRAY'S LLC,,2150 5TH AVE ,,NEW YORK,NY,10037,08/09/2018,07/31/2020,RESTAURANT SERVING WINE BEER AND CIDER,,Recorded Music. No outdoor area. No dancing,,40.81066455,-73.93946851736416
718,1243604,NEW YORK,OP,252,888857,"ONE 29 PARK LLC,TGA II LLC&TG 29 HOSP LLC AS MGR",ROYALTON BRASSERIE,420 PARK AVE SOUTH REST SPACE ,,NEW YORK,NY,10016,05/10/2019,11/30/2020,RESTAURANT SERVING LIQUOR BEER AND WINE CIDER,Rear yard to be closed by 11:30 PM; Occupancy not to exceed 40; No smoking,Recorded Music,,0.0,0.0
726,1285470,NEW YORK,L,222,899278,NEW BENNETT WINES & LIQUORS INC,,720 W 181ST ST,STORE 3EAST,NEW YORK,NY,10033,04/20/2018,05/31/2021,LIQUOR STORE SELLING LIQUOR AND WINE,,,,40.8502607,-73.93681739664476
730,1255875,NEW YORK,DX,126,893068,PRIME ESSENTIALS LLC,,345 BROADWAY,,NEW YORK,NY,10013,08/04/2017,08/31/2020,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7167598,-74.0043394
731,1209444,NEW YORK,CT,246,893300,COMPASS GROUP USA INC   ,REST ASSOCIATES 2ND FLOOR,"1 BRYANT PK, 1111 AVE AMERICA",42ND & 43RD STREETS,NEW YORK,NY,10036,07/11/2018,08/31/2020,"CATERING FACILITY SERVING BEER, WINE, CIDER, AND LIQUOR",,,,0.0,0.0
737,1293706,NEW YORK,OP,252,898889,HNJ NYC LLC,HOT N JUICY CRAWFISH,243 W 14TH ST,,NEW YORK,NY,10011,10/22/2018,10/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER",,Recorded Music,,40.73953525,-74.00133615834969
744,1298812,NEW YORK,RW,341,838707,KUNI'S CORPORATION,IKINARI STEAK,90 E 10TH ST,FL 1,NEW YORK,NY,10003,01/16/2019,01/31/2021,RESTAURANT SERVING WINE BEER AND CIDER,CB 3 Stips:  11am-12am Daily,"CB 3 Stips:  No outdoor areas.  No DJs, No Happy Hours, Bar Crawls/Party Buses",,40.67205641666666,-73.99420491666666
745,1022488,NEW YORK,CL,243,901478,"BROOK INC,THE",,111 E 54TH STREET,,NEW YORK,NY,10022,02/04/2019,02/28/2021,"CLUB SERVING BEER, WINE, LIQUOR, & CIDER",,Members only - not open to the public,,40.64805,-74.02106702040817
747,1280623,NEW YORK,RW,341,835861,LA MINITA RESTAURANT INC,,3855 10TH AVE,,NEW YORK,NY,10034,11/21/2018,11/30/2020,RESTAURANT SERVING BEER AND WINE CIDER ONLY,,,,40.86390158333333,-73.91921733333334
760,1312126,NEW YORK,OP,252,888226,PARAISO GROUP LLC,HER NAME WAS CARMEN,525 527 BROOME ST,,NEW YORK,NY,10013,11/21/2018,10/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER     ","Ground floor: 11 am to 1 am all days  Cellar: Sun/Wed 5 pm to 1 am, Thurs/Fri 5 pm to 2 am, Sat 5 pm to 3 am.","Background recorded music, no dancing, must have security Thurs to Sat after 10pm",,40.72383335714286,-74.00413471428571
761,1206901,NEW YORK,OP,252,894472,520 HAPPY TIMES INC,HOUNDS TOOTH PUB,520 8TH AVENUE,SE CORNER OF 8TH AVENUE,NEW YORK,NY,10018,08/27/2018,08/31/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,"CD, Jukebox Music, No Dancing, Foord served",,40.753643,-73.9921669
784,1282649,NEW YORK,OP,252,901235,DUNDEE LLC,CALEDONIA SCOTTISH PUB ,1609 2ND AVE,,NEW YORK,NY,10028,01/25/2019,01/31/2021,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER ",,Recorded Music ,,40.7763122,-73.95319215324764
785,1025413,NEW YORK,OP,252,905728,164 MULBERRY STREET CORP,DA NICO,164 MULBERRY STREET,,NEW YORK,NY,10013,05/06/2019,05/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,SIDEWALK CAFE PERMITTED FOR MULBERRY ST MALL/SAN GENNARO FEAST 2016 ONLY,,,40.7196637,-73.9969318
786,1172693,NEW YORK,TW,344,912673,JAPAN SOCIETY INC,,333 E 47TH STREET,1ST & 2ND AVENUES,NEW YORK,NY,10017,01/16/2019,01/31/2021,"TAVERN SERVING BEER, WINE, & CIDER",,,,40.75255685,-73.96824606134496
789,1029452,NEW YORK,RW,341,839884,POWERFUL KATINKA INC,PEARL OYSTER BAR,18 CORNELIA STREET,,NEW YORK,NY,10014,05/14/2019,05/31/2021,RESTAURANT SERVING WINE CIDER AND BEER,,,,40.687747,-73.91760050945626
798,1217002,NEW YORK,RW,341,839005,SRG1 LLC,SCHNIPPER'S QUALITY KITCHEN,620 8TH AVE,SPACE B,NEW YORK,NY,10018,02/21/2019,02/28/2021,RESTAURANT SERVING BEER AND WINE CIDER,,,,40.75589705,-73.98927342121596
812,1299304,NEW YORK,CR,256,776027,512 W42 RETAIL LLC & CACHET HOTEL GROUP LIMITED,PLAYBOY CLUB NEW YORK,512 W 42ND ST,,NEW YORK,NY,10036,10/31/2018,09/30/2020,CABARET SERVING LIQUOR WINE BEER AND CIDER,"FB Stips:Closing 4am; No Lines, No Promoters, No Concerts w/tickets",Recorded music,,40.759615,-73.995669
820,1315094,NEW YORK,IL,208,910956,UNIVERSAL EXPORT LLC,,152 W 57TH ST,FL 23 OFFICE C,NEW YORK,NY,10019,04/25/2019,02/28/2021,,,,,40.76486645,-73.97962015352962
822,1256140,NEW YORK,OP,252,898910,301 SOUTH LLC,TREADWELL PARK/SOUTHWEST NY/BLACK HOUND,345 SOUTH END AVE,,NEW YORK,NY,10280,10/23/2018,10/31/2020,"RESTAURANT SERVING BEER, WINE AND LIQUOR CIDER","Mon-Fri 11:00AM-1:30AM, Sat-Sun 10:00AM-2:30AM. Background music only ",No Alcohol to be served before Noon on Sunday,,40.710873,-74.01648978844199
826,1020480,NEW YORK,AX,128,899793,MAN DELL FOOD STORES INC,KEY FOOD,52 AVENUE A,,NEW YORK,NY,10009,05/08/2018,06/30/2021,"GROCERY STORE SELLING BEER, CIDER AND WINE PRODUCTS",,,,42.65388825611976,-73.78895845128143
838,1034300,NEW YORK,VL,240,901991,CIRCLE LINE SIGHTSEEING YACHTS INC WORLD YACHT INC,&LEGENDS HOSP LLC  DBA CIRCLE LINE XVI,PIER 83 WEST 42ND ST,,NEW YORK,NY,10036,02/14/2019,02/28/2021,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,,40.76276455,-74.00150775515021
843,1245881,NEW YORK,L,222,895750,NASSAU STREET CORP,FINANCIAL DISTRICT WINES AND LIQUOR,120 NASSAU STREET,,NEW YORK,NY,10038,12/05/2017,11/30/2020,LIQUOR STORE SELLING LIQUOR AND WINE,,,,40.69805995,-73.98650828625262
849,1025088,NEW YORK,OP,252,903220,GFB RESTAURANT CORP,IL MULINO,86 W 3RD STREET,,NEW YORK,NY,10012,03/08/2019,02/28/2021,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,,40.729743549999995,-73.99914707988282
857,1298196,NEW YORK,HL,242,903598,"215 CHRYSTIE LLC,IS CHRYSTIE MANAGEMENT LLC &",VS-CHRYSTIE LLC; DBA: THE PUBLIC NEW YORK,215 CHRYSTIE ST,,NEW YORK,NY,10002,03/18/2019,03/31/2021,HOTEL SERVING LIQUOR WINE BEER AND CIDER,CB3 Stips: Vary by bar see attached Stipulation Rider,"CB3 Stips: No unlimited drink specials, party buses/pub crawls",,40.723034,-73.9920355
862,1023354,NEW YORK,HL,242,906596,CDL WEST 45TH STREET LLC & M&C HOTEL INTERESTS INC,MILLENNIUM BROADWAY HOTEL NY & THEPREMIER HOTEL NY,136 150 W 45TH STREET,133 153 W 44TH STREET,NEW YORK,NY,10019,05/30/2019,05/31/2021,"HOTEL TAVERN RESTAURANT SERVING CIDER BEER, CIDER WINE AND LIQUOR",,,,40.75715463265306,-73.98384557142857
868,1296011,NEW YORK,RW,341,835598,LOU GUAN TAI INC,XI'AN FAMOUS FOODS,328 E 78TH ST,,NEW YORK,NY,10075,08/27/2018,08/31/2020,"RESTAURANT SERVING WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,,40.7720592,-73.9544371
870,1308654,NEW YORK,AX,122,882677,WESTSIDE CONVENIENCE INC,,614 614A AMSTERDAM AVE,,NEW YORK,NY,10024,03/26/2018,02/28/2021,GROCERY STORE SELLING BEER AND WINE PRODUCTS,,,,40.69983445454546,-73.59531518181818
878,1221455,NEW YORK,OP,252,906960,CHELSEA HOSPITALITY PARTNERS LLC,AVENUE,116 10TH AVENUE,17TH AND 18TH STREETS,NEW YORK,NY,10011,06/18/2019,06/30/2021,ON PREMISE LIQUOR WINE CIDER & BEER,7 Days/Week 5:00PM to 4:00AM,,,43.0437285,-78.88154810615578
882,1316951,NEW YORK,RW,341,830871,GUSTALY LLC,,796 9TH AVE ,,NEW YORK,NY,10019,07/02/2019,05/31/2021,"RESTAURANT SERVING BEER, CIDER, AND WINE","CB4 Stips: M-F 8am-10:30pm, Sa-Su 10am-10:30pm",Recorded Music ,,40.76507565,-73.98739632361614
885,1260046,NEW YORK,AX,122,895586,LOMA DELI MARKET INC ,,133 AVENUE D ,,NEW YORK,NY,10009,11/28/2017,12/31/2020,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,,,,40.724581650000005,-73.97572185042435
887,1022454,NEW YORK,CL,243,903461,CLUB METROPOLITAN INC,,146 W 57TH STREET,,NEW YORK,NY,10019,03/13/2019,03/31/2021,CLUB RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,Members only - not open to the public,,40.76481753061224,-73.97859028571429
893,1023551,NEW YORK,L,222,899302,NIZGA CORP,,58 AVENUE A,,NEW YORK,NY,10009,04/23/2018,06/30/2021,LIQUOR STORE SELLING WINE AND LIQUOR,,,,40.7242889,-73.9846497
894,1314390,NEW YORK,OP,252,888467,DISTRICT 727 INC,DISTRICT LOCAL,72 7TH AVE,STORE #2 & BASEMENT,NEW YORK,NY,10011,01/30/2019,12/31/2020,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR","CB4 Stips:Su 11:30am-12am, M-Tu 11:30am-1am, W-Sa 11:30am-2am;No Dancing,No Bottle Service,No Event Promoters",Recorded background music only,,40.7391655,-73.9994608
899,1314139,NEW YORK,RW,341,830767,APERITIF COLUMBUS LLC,LE PETIT ROOSTER,491 COLUMBUS AVE,,NEW YORK,NY,10024,03/28/2019,02/28/2021,"RESTAURANT SERVING WINE, BEER AND CIDER     ",,"Recorded music, no dancing; NO Licensed Sidewalk Cafe W/O Permit",,40.784823149999994,-73.9729930498992
903,1291671,NEW YORK,OP,252,893785,LAVA 164 CORP,MARSHALL STREET,306 E 49TH ST,,NEW YORK,NY,10017,07/31/2018,07/31/2020,RESTAURANT SERVING BEER WINE CIDER & LIQUOR ,CB 6 Stips: Open till 2am All Days ,Recorded Music ,,40.647883081632656,-74.01358220408163
909,1315065,NEW YORK,TW,344,904274,OLD COUNTRY COFFEE INC,OLD COUNTRY COFFEE,455 W 34TH ST,,NEW YORK,NY,10001,06/26/2019,05/31/2021,"TAVERN SERVING WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,,40.754537049999996,-73.99837245758866
914,1311911,NEW YORK,OP,252,888603,HUDSON YARDS BY RHUBARB LLC,WILD INK,500 W 33RD ST ,AKA 20 HUDSON YARDS UNIT RU507,NEW YORK,NY,10001,03/04/2019,02/28/2021,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,CB4 Stips: 7am-2am Daily,"CB4 Stips: Background, Live music, DJ.  No sidewalk cafe",,40.7539325,-73.9999528
917,1028405,NEW YORK,RL,241,902394,NANCY WHISKEY INC,,1 LISPENARD STREET,,NEW YORK,NY,10013,02/22/2019,02/28/2021,TAVERN SERVING LIQUOR CIDER WINE AND BEER,must close by 4AM,Restaurant,,40.72064,-74.00497
919,1268747,NEW YORK,RW,341,840384,WO HOP CITY INC,,15 MOTT ST,,NEW YORK,NY,10013,07/08/2019,05/31/2021,"RESTAURANT SERVING BEER, CIDER, AND WINE",11:00am - 12:00am every day,"No DJs, Live Music, Promoted Events, Scheduled Performances, Events at which a cover fee is charged, French doors or windows",,40.71419485,-73.9989565409242
921,1302810,NEW YORK,SL,548,916704,ISLAND OYSTER LLC,,10 SOUTH ST ,SLIP 7 MANHATTAN FERRY LANDING,NEW YORK,NY,10004,03/27/2020,10/31/2020,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Seasonal 04/01-10/31; CB stips: Hours 10am-12am 7 days a week,Licensed Garden Grounds & Waterfront; Recorded/Live music ,,40.700987850000004,-74.01165071158765
926,1300519,NEW YORK,OP,252,904534,45 TUDOR RESTAURANT LLC,TUDOR CITY STEAKHOUSE,45 TUDOR CITY PL,GROUND FLOOR AND BASEMENT,NEW YORK,NY,10017,03/29/2019,03/31/2021,"RESTAURANT SERVING, LIQUOR, WINE, BEER AND CIDER",Hours of Operation on Lease: Not to open before 8:00am or close after 2:00am All Days,"Recorded Music Permitted, No Dancing and Licensed Patio/Courtyard Permitted",,40.749353,-73.96998474438958
932,1145758,NEW YORK,RW,341,839424,EAST-LEX DINER LTD,MIDTOWN RESTAURANT,"155 E 55TH ST, WEST STORE",LEXINGTON & 3RD AVENUE,NEW YORK,NY,10022,04/01/2019,01/31/2021,RESTAURANT SERVING WINE BEER & CIDER,,,,0.0,0.0
933,1026341,NEW YORK,OP,252,905684,PETROSSIAN RESTAURANTS INC,PETROSSIAN,180 W 58TH STREET,,NEW YORK,NY,10019,05/03/2019,04/30/2021,RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,,,,40.765862350000006,-73.97934138664738
936,1314468,NEW YORK,RW,341,830720,SZECHUAN MOUNTAIN HOUSE INC,SZECHUAN MOUNTAIN HOUSE,19-23 SAINT MARKS PL,UPPER LEVEL,NEW YORK,NY,10003,02/25/2019,01/31/2021,"RESTAURANT SERVING WINE, BEER AND CIDER",CB3 Stips: 11:00AM-11:30PM Sun  Thu; 11:00AM-12:00PM Fri/Sat ,Recorded background music; No DJs; No Promoter Events; No Dancing; No Pub Crawls or Party Buses; Use of Oudoor space for commercial use is prohibited,,40.682064700000005,-73.980339
957,1297617,NEW YORK,OP,252,905553,FUN HAT LLC,BEETLE HOUSE,308 E 6TH ST,STORE 2,NEW YORK,NY,10003,04/29/2019,04/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER",,Cannot Store Alcohol in Basement Until Warehouse Permit is Obtained,,40.7270134,-73.9880547
959,1293878,NEW YORK,EB,141,882323,HOWLING INC,WOLFNIGHTS,99 RIVINGTON ST,AKA 127 LUDLOW ST,NEW YORK,NY,10002,12/19/2017,11/30/2020,EATING PLACE BEER SERVING BEER,CB #3 Stips:  12p-2a Su-We; 12p-4a Th; 12p-5a (No Alcohol served passed 1am),"CB #3 Stips:  doors/windows  closed 10p. No outdoor area, live music, DJs, promoted events",,40.7200494,-73.9885393
961,1314666,NEW YORK,CT,246,898498,RESTAURANT ASSOCIATES LLC,,611 5TH AVE,FL 3 & 4,NEW YORK,NY,10022,03/27/2019,02/28/2021,CATERING ESTABLISHMENT SERVING BEER WINE CIDER & LIQUOR,,,,40.758016,-73.9769452
988,1025590,NEW YORK,OP,252,902081,LA RIPAILLE CORP,LA RIPAILLE,605 HUDSON ST,,NEW YORK,NY,10014,02/15/2019,02/28/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",,,,40.73726235,-74.00600900796965
990,1154546,NEW YORK,OP,252,895477,PEPE WEST 48TH STREET LLC,LA MASSERIA,235 237 W 48TH ST,8TH AVENUE & BROADWAY,NEW YORK,NY,10036,09/24/2018,10/31/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,,40.76050733333333,-73.985538
994,1312252,NEW YORK,HL,242,888488,WESTGATE NEW YORK CITY LLC & WESTGATE MGMT NYC INC,WESTGATE NEW YORK CITY,304 E 42ND ST,,NEW YORK,NY,10017,02/05/2019,01/31/2021,"HOTEL SERVING LIQUOR, WINE, BEER AND CIDER",,"Recorded music, no dancing permitted",,40.7495001,-73.9718919
996,1171915,NEW YORK,RW,341,835945,7TH STREET SUSHI PARK INC,KLIMAT,77 EAST 7TH STREET,1ST & 2ND AVENUES,NEW YORK,NY,10003,12/06/2018,12/31/2020,"RESTAURANT SERVING WINE, BEER, & CIDER",,,,40.727444399999996,-73.9863010339791
997,1019350,NEW YORK,A,122,902569,2451 BROADWAY MARKET INC,BARZINI'S,2451 BROADWAY,,NEW YORK,NY,10024,06/26/2018,06/30/2021,GROCERY SELLING BEER AND CIDER,,,,40.7913705,-73.9745317
999,1311601,NEW YORK,OP,252,888475,ALTA CUCINA 2 LLC,AVENA DOWNTOWN,260 264 6TH AVE,,NEW YORK,NY,10014,01/31/2019,12/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER","FB Stips: Close  2am, 7 days; Close windows 9pm; Background music","FB Stips: Sidewalk Cafe to close 11pm, No Dancing",,42.709584020408165,-73.71173683673469
1004,1247581,NEW YORK,OP,252,900708,768 MAD RESTAURANT LLC,BAR ITALIA,768 MADISON AVENUE,,NEW YORK,NY,10022,01/10/2019,01/31/2021,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,,40.7678887,-73.968481
1005,1267563,NEW YORK,RW,341,839539,1382 DINER INC,TREND DINER & RESTAURANT,1382 2ND AVE,AKA 301 E 71ST ST,NEW YORK,NY,10021,04/15/2019,04/30/2021,RESTAURANT SERVING BEER CIDER AND WINE,,RECORDED MUSIC,,40.76815,-73.9586127
1007,1244022,NEW YORK,OP,252,893895,RESTAURANT ASSOCIATES LLC,,1071 5TH AVENUE,89TH ST & 90TH ST,NEW YORK,NY,10128,08/02/2018,08/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",,"No Music & Dancing, Food Served",,40.7829932,-73.95892501810059
1015,1107333,NEW YORK,AX,122,902324,453 HARLEM STREET CORP,ROSARIO GROCERY,453 W 125TH ST,AMSTERDAM AVE & ST NICHOLAS AV,NEW YORK,NY,10027,06/19/2018,06/30/2021,GROCERY STORE SELLING BEER CIDER AND WINE PROUCTS,,,,40.81292345,-73.95548456161538
1025,1183241,NEW YORK,HL,242,900140,GS SITE 25 HOTEL LLC & CONRAD MGMT LLC AS MGR & ,BARTECH SYSTEMS INTL AS MGR/CONRAD NEW YORK HILTON,102 NORTH END AVEAKA251VESEYST,CORNER OF VESEY & NORTH END ,NEW YORK,NY,10281,12/12/2018,12/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER UNTIL LEGAL CLOSING TIME ",Rooftop Su-We 10AM-12AM & Th Sa 10AM-2 AM ,HOTEL OPEN 24 HOURS,,0.0,0.0
1035,1299652,NEW YORK,OP,252,906601,MC 137 INC,OFFSIDE TAVERN,137 W 14TH ST,,NEW YORK,NY,10011,05/31/2019,05/31/2021,"BAR/TAVERN SERVING BEER, WINE & LIQUOR",12p-4a (Sun-Mon),Recorded Background Music Only; Registered Security Personnel; Karaoke: 9pm-1am Sa; 8pm-11pm Su ,,40.7383652,-73.9983442
1043,1300781,NEW YORK,RW,341,839114,81 STREET CHICKEN CORP,CHIRPING CHICKEN,1560 2ND AVE,AKA/ 300 E 81ST ST ,NEW YORK,NY,10028,03/04/2019,02/28/2021,RESTAURANT SERVING BEER WINE & CIDER,,Recorded Music; Licensed Sidewalk Cafe,,40.7744908,-73.9539936
1054,1021748,NEW YORK,AX,122,898945,756 JOMO FOOD CORP,FOODTOWN,756 ST NICHOLAS AVENUE,,NEW YORK,NY,10031,04/06/2018,05/31/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.825874,-73.94297714519116
1072,1034231,NEW YORK,TW,344,914670,NUYORICAN POETS CAFE INC,NUYORICAN POETS CAFE,236 E 3RD ST  ,,NEW YORK,NY,10009,04/16/2019,04/30/2021,TAVERN SERVING BEER CIDER & WINE,,,,40.72199205,-73.9817852930615
1078,1028344,NEW YORK,RL,241,902310,"D F K 11 TRINITY PL CORP,THE",BLARNEY STONE,11 TRINITY PL & 39 BROADWAY,,NEW YORK,NY,10006,02/21/2019,02/28/2021,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,,0.0,0.0
1094,1269623,NEW YORK,RW,341,840114,KOJUN INC,INASE RESTAURANT,1586 1ST AVE,,NEW YORK,NY,10028,06/05/2019,06/30/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.77453145,-73.95075204999999
1099,1174976,NEW YORK,RW,341,839632,VEZZO INC,,178 LEXINGTON AVE,30TH STREET & 31ST STREET,NEW YORK,NY,10016,04/23/2019,04/30/2021,RESTAURANT SERVING BEER CIDER AND WINE,TO INCLUDE 176 LEXINGTON AVE,,,40.6871748,-73.954392
1104,1110670,NEW YORK,OP,252,888663,C A P RESTAURANT CORP,SOMBRERO RESTAURANT,303 W 48TH STREET ,8TH & 9TH AVENUES,NEW YORK,NY,10036,03/19/2019,01/31/2021,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,,40.7612886,-73.9873647
1111,1026451,NEW YORK,OP,252,899114,UNCLE NICKS INC,UNCLE NICKS,747 9TH AVENUE,,NEW YORK,NY,10019,10/30/2018,11/30/2020,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,,,,40.76389075,-73.98900648395596
